1,2,3,4,5,6,7,A,B,C,D,E,F,G,J,L,M,N,Q,R,S,W,Z
Van Cortlandt Park–242 St,Wakefield-241 St,Harlem-148 St,Woodlawn,Eastchester-Dyre Av,Pelham Bay Park,Flushing-Main St,Inwood-207 St,,168 St,Norwood-205 St,Jamaica Center–Parsons/Archer,,Court Sq,Jamaica Center–Parsons/Archer,8 Av,,Astoria–Ditmars Blvd,96 St,Forest Hills–71 Av,Times Sq–42 St,Astoria–Ditmars Blvd,Jamaica Center–Parsons/Archer
238 St,Nereid Av,145 St,Mosholu Pkwy,Baychester Av,Buhre Av,Mets-Willets Point,Dyckman St,,163 St-Amsterdam Av,Bedford Park Blvd,Sutphin Blvd–Archer Av–JFK Airport,,21 St,Sutphin Blvd–Archer Av–JFK Airport,6 Av,,Astoria Blvd,86 St,67 Av,Grand Central–42 St,Astoria Blvd,Sutphin Blvd–Archer Av–JFK Airport
231 St,233 St,135 St,Bedford Pk Blvd-Lehman College,Gun Hill Rd,Middletown Rd,111 St,190 St,,155 St,Kingsbridge Rd,Jamaica–Van Wyck,,,121 St,14 St–Union Sq,,30 Av,72 St,63 Dr–Rego Park,Franklin Av,30 Av,121 St
Marble Hill–225 St,225 St,125 St,Kingsbridge Rd,Pelham Pkwy,Westchester Sq-East Tremont Av,103 St-Corona Plaza,181 St,,145 St,Fordham Rd,Briarwood,,Greenpoint Av,111 St,3 Av,,Broadway (Astoria),Lexington Av/63 St,Woodhaven Blvd,Park Place,Broadway,104 St
215 St,219 St,116 St,Fordham Rd,Morris Park,Zerega Av,Junction Blvd,175 St,,135 St,182-183 Sts,Kew Gardens–Union Tpke,,Nassau Av,104 St,1 Av,,36 Av,57 St–7 Av,Grand Av,Botanic Garden,36 Av,Woodhaven Blvd
207 St,Gun Hill Rd,110 St-Malcolm X Plaza,183 St,E 180 St,Castle Hill Av,90 St-Elmhurst Av,168 St,,125 St,Tremont Av,75 Av,,Metropolitan Av,Woodhaven Blvd,Bedford Av,,39 Av,Times Sq–42 St,Elmhurst Av,Prospect Park,39 Av,75 St–Elderts Ln
Dyckman St,Burke Av,96 St,Burnside Av,West Farms Sq-E Tremont Av,Parkchester,82 St-Jackson Hts,145 St,,116 St,174-175 Sts,Forest Hills–71 Av,,Broadway,85 St–Forest Pkwy,Lorimer St,,Queensboro Plaza,34 St–Herald Sq,Jackson Hts–Roosevelt Av,Broad Channel,Queensboro Plaza,Crescent St
191 St,Allerton Av,72 St,176 St,174 St,St Lawrence Av,74 St-Broadway,125 St,,Cathedral Pkwy (110 St),170 St,Jackson Hts–Roosevelt Av,,Flushing Av,75 St–Elderts Ln,Graham Av,,Lexington Av/59 St,14 St–Union Sq,65 St,Beach 90 St,Lexington Av/59 St,Norwood Av
181 St,Pelham Pkwy,Times Square-42 St,Mt Eden Av,Freeman St,Morrison Av-Soundview,69 St,59 St-Columbus Circle,,103 St,167 St,Queens Plaza,,Myrtle–Willoughby Avs,Cypress Hills,Grand St,,5 Av/59 St,Canal St,Northern Blvd,Beach 98 St,5 Av/59 St,Van Siclen Av
168 St,Bronx Park East,34 St-Penn Station,170 St,Simpson St,Elder Av,61 St-Woodside,42 St-Port Authority Bus Terminal,,96 St,161 St-Yankee Stadium,Court Sq–23 St,,Bedford–Nostrand Avs,Crescent St,Montrose Av,,57 St–7 Av,DeKalb Av,46 St,Beach 105 St,57 St–7 Av,Alabama Av
157 St,E 180 St,14 St,167 St,Intervale Av,Whitlock Av,52 St,34 St-Penn Station,,86 St,,,,Classon Av,Norwood Av,Morgan Av,,49 St,Atlantic Av–Barclays Ctr,Steinway St,Rockaway Park–Beach 116 St,49 St,Broadway Junction
145 St,West Farms Sq-E Tremont Av,Chambers St,161 St-Yankee Stadium,Prospect Av,Hunts Point Av,46 St-Bliss St,14 St,,81 St-Museum of Natural History,155 St,Lexington Av/53 St,,Clinton–Washington Avs,Cleveland St,Jefferson St,,Times Sq–42 St,7 Av,36 St,,Times Sq–42 St,Chauncey St
137 St–City College,174 St,Park Place,149 St-Grand Concourse,Jackson Av,Longwood Av,40 St-Lowery St,W 4 St-Washington Sq,,72 St,145 St,5 Av/53 St,,Fulton St,Van Siclen Av,DeKalb Av,,34 St–Herald Sq,Prospect Park,Queens Plaza,,34 St–Herald Sq,Gates Av
125 St,Freeman St,Fulton St,138 St-Grand Concourse,3 Av-149 St,E 149 St,33 St-Rawson St,Canal St,,59 St-Columbus Circle,125 St,7 Av,,Hoyt–Schermerhorn,Alabama Av,Myrtle–Wyckoff Avs,,14 St–Union Sq,Parkside Av,Lexington Av/59 St,,28 St,Myrtle Av
116 St–Columbia University,Simpson St,Wall St,125 St,149 St-Grand Concourse,E 143 St-Mary's St,Queensboro Plaza,Chambers St,,50 St,59 St-Columbus Circle,50 St,,Bergen St,Broadway Junction,Halsey St,,Canal St,Church Av,5 Av/59 St,,23 St,Marcy Av
Cathedral Pkwy (110 St),Intervale Av,Clark St,86 St,138 St-Grand Concourse,Cypress Av,Court Sq,Fulton St,,42 St-Port Authority Bus Terminal,7 Av,42 St–Port Authority Bus Terminal,,Carroll St,Chauncey St,Wilson Av,,Atlantic Av–Barclays Ctr,Beverly Rd,57 St–7 Av,,14 St–Union Sq,Delancey St–Essex St
103 St,Prospect Av,Borough Hall,59 St,125 St,Brook Av,Hunters Point Av,High St,,34 St-Penn Station,47-50 Sts-Rockefeller Ctr,34 St–Penn Station,,Smith–9 Sts,Halsey St,Bushwick Av–Aberdeen St,,36 St,Cortelyou Rd,49 St,,8 St–NYU,Bowery
96 St,Jackson Av,Hoyt St,Grand Central-42 St,86 St,3 Av-138 St,Vernon Blvd-Jackson Av,Jay St-MetroTech,,23 St,42 St-Bryant Pk,23 St,,4 Av–9 Sts,Gates Av,Broadway Junction,,59 St,Newkirk Plaza,Times Sq–42 St,,Prince St,Canal St
86 St,3 Av-149 St,Nevins St,14 St-Union Sq,59 St,125 St,Grand Central-42 St,Hoyt-Schermerhorn,,14 St,34 St-Herald Sq,14 St,,7 Av,Kosciuszko St,Atlantic Av,,8 Av (Brooklyn),Avenue H,34 St–Herald Sq,,Canal St,Chambers St
79 St,149 St–Grand Concourse,Atlantic Av-Barclays Ctr,Brooklyn Bridge-City Hall,Grand Central-42 St,116 St,5 Av,Nostrand Av,,W 4-Washington Sq,W 4 St-Washington Sq,W 4 St–Washington Sq,,15 St–Prospect Park,Myrtle Av,Sutter Av,,Fort Hamilton Pkwy,Avenue J,28 St,,City Hall,Fulton St
72 St,135 St (Lenox Av),Bergen St,Fulton St,14 St-Union Sq,110 St,Times Sq-42 St,Utica Av,,Spring St,Broadway-Lafayette St,Spring St,,Fort Hamilton Pkwy,Flushing Av,Livonia Av,,New Utrecht Av,Avenue M,23 St,,Cortlandt St,Broad St
66 St–Lincoln Center,125 St (Lenox Av),Grand Army Plaza,Wall St,Brooklyn Bridge-City Hall,103 St,34 St-Hudson Yards,Broadway Junction,,Canal St,Grand St,Canal St,,Church Av,Lorimer St,New Lots Av,,18 Av,Kings Hwy,14 St–Union Sq,,Rector St,
59 St–Columbus Circle,116 St (Lenox Av),Eastern Parkway-Brooklyn Museum,Bowling Green,Fulton St,96 St,,Euclid Av,,Chambers St,,World Trade Center,,,Hewes St,East 105 St,,20 Av,Avenue U,8 St–NYU,,Whitehall St–South Ferry,
50 St,110 St–Malcolm X Plaza,Franklin Av-Medgar Evers College,Borough Hall,Wall St,86 St,,Grant Av,,Fulton St,Atlantic Av-Barclays Ctr,,,,Marcy Av,Canarsie–Rockaway Pkwy,,Bay Pkwy,Neck Rd,Prince St,,,
Times Sq–42 St,96 St & Broadway,Nostrand Av,Nevins St,Bowling Green,77 St,,80 St,,,36 St,,,,Delancey St–Essex St,,,Kings Hwy,Sheepshead Bay,Canal St,,,
34 St–Penn Station,72 St & Broadway,Kingston Av,Atlantic Av-Barclays Ctr,Nereid Av,68 St-Hunter College,,88 St,,High St,9 Av,,,,Bowery,,,Avenue U,Brighton Beach,City Hall,,,
28 St,Times Sq–42 St,Crown Heights-Utica Av,Franklin Av-Medgar Evers College,233 St,59 St,,Rockaway Blvd,,Jay St-MetroTech,Fort Hamilton Pkwy,,,,Canal St,,,86 St,Ocean Pkwy,Cortlandt St,,,
23 St,34 St–Penn Station,Sutter Ave-Rutland Rd,Crown Heights-Utica Av,225 St,51 St,,,,Hoyt-Schermerhorn,50 St,,,,Chambers St,,,Coney Island–Stillwell Av,W 8 St–NY Aquarium,Rector St,,,
18 St,14 St,Saratoga Av,,219 St,Grand Central-42 St,,104 St,,Lafayette Av,55 St,,,,Fulton St,,,,Coney Island–Stillwell Av,Whitehall St–South Ferry,,,
14 St,Chambers St,Rockaway Av,,Burke Av,33 St,,111 St,,Clinton-Washington Avs,62 St,,,,Broad St,,,,,Court St,,,
Christopher St–Stonewall,Park Place,Junius St,,Allerton Av,28 St,,Ozone Pk-Lefferts Boulevard,,Franklin Av,71 St,,,,,,,,,Jay St–MetroTech,,,
Houston St,Fulton St,Pennsylvania Av,,Bronx Park East,23 St,,,,Nostrand Av,79 St,,,,,,,,,DeKalb Av,,,
Canal St,Wall St,Van Siclen Av,,Borough Hall,14 St-Union Sq,,Aqueduct Racetrack,,Kingston-Throop Avs,18 Av,,,,,,,,,Atlantic Av–Barclays Ctr,,,
Franklin St,Clark St,New Lots Av,,Nevins St,Astor Pl,,Aqueduct-North Conduit Av,,Utica Av,20 Av,,,,,,,,,Union St,,,
Chambers St,Borough Hall,,,Atlantic Av-Barclays Ctr,Bleeker St,,Howard Beach-JFK Airport,,Ralph Av,Bay Pkwy,,,,,,,,,4 Av–9 St,,,
WTC Cortlandt,Hoyt St,,,Franklin Av-Medgar Evers College,Spring St,,Broad Channel,,Rockaway Av,25 Av,,,,,,,,,Prospect Av,,,
Rector St,Nevins St,,,President St-Medgar Evers College,Canal St,,Beach 67 St,,Broadway Junction,Bay-50 St,,,,,,,,,25 St,,,
South Ferry,Atlantic Av–Barclays Ctr,,,Sterling St,Brooklyn Bridge-City Hall,,Beach 60 St,,Liberty Av,Coney Island-Stillwell Av,,,,,,,,,36 St,,,
,Bergen St,,,Winthrop St,,,Beach 44 St,,Van Siclen Av,,,,,,,,,,45 St,,,
,Grand Army Plaza,,,Church Av,,,Beach 36 St,,Shepherd Av,,,,,,,,,,53 St,,,
,Eastern Pkwy–Brooklyn Museum,,,Beverly Rd,,,Beach 25 St,,Euclid Av,,,,,,,,,,59 St,,,
,Franklin Av–Medgar Evers College,,,Newkirk Av-Little Haiti,,,Far Rockaway-Mott Av,,,,,,,,,,,,Bay Ridge Av,,,
,President St–Medgar Evers College,,,Flatbush Av-Brooklyn College,,,,,,,,,,,,,,,77 St,,,
,Sterling St,,,,,,Broad Channel,,,,,,,,,,,,86 St,,,
,Winthrop St,,,,,,Beach 90 St,,,,,,,,,,,,Bay Ridge–95 St,,,
,Church Av,,,,,,Beach 98 St,,,,,,,,,,,,,,,
,Beverly Rd,,,,,,Beach 105 St,,,,,,,,,,,,,,,
,Newkirk Av–Little Haiti,,,,,,Rockaway Park-Beach 116 St,,,,,,,,,,,,,,,
,Flatbush Av–Brooklyn College,,,,,,,,,,,,,,,,,,,,,